,Counter,Gait Speed,Step Length,Stride Length,Step Width,Right Flexion Angle,Left Flexion Angle,Right Extension Angle,Left Extension Angle,Distance Travelled,Step Count,TUG Time,Cadence (Steps/min),Timestamp,Time (s),Processing time,Orientation,Turn,World Coordinates,Key Points
52,1879,726.1064628644182,464.11443572120345,1200.4444,118.59085358993286,9.161391399328437,4.662474375330504,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:30,7.384567499160767,0.1010439395904541,side,1,"{0: (203, -800, 2260), 1: (0, 0, 0), 3: (0, 0, 0), 5: (380, -612, 2034), 6: (410, -630, 2041), 7: (423, -318, 1969), 9: (0, 0, 0), 11: (351, -77, 2099), 12: (0, 0, 0), 13: (214, 299, 2206), 14: (501, 299, 2296), 15: (101, 673, 2247), 16: (611, 675, 2266), 17: (393, -619, 2035)}","{0: (695, 148), 1: (696, 137), 3: (724, 127), 5: (755, 181), 6: (764, 176), 7: (772, 268), 9: (765, 344), 11: (742, 345), 12: (759, 345), 13: (699, 451), 14: (774, 448), 15: (667, 553), 16: (807, 553), 17: (759, 179), 18: (array([695., 148.]), array([696., 137.]))}"
53,1880,726.1064628644182,464.11443572120345,0,118.59085358993286,15.159546182001918,11.154593803876793,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:30,7.48242712020874,0.10313796997070312,,0,"{0: (105, -794, 2274), 1: (0, 0, 0), 3: (206, -824, 2183), 5: (281, -602, 2031), 6: (326, -619, 2046), 7: (338, -314, 1986), 9: (0, 0, 0), 11: (261, -61, 2114), 12: (0, 0, 0), 13: (129, 308, 2217), 14: (412, 302, 2311), 15: (0, 0, 0), 16: (593, 661, 2268), 17: (301, -605, 2029)}","{0: (668, 151), 1: (671, 140), 3: (698, 133), 5: (725, 184), 6: (738, 180), 7: (744, 270), 9: (740, 346), 11: (715, 350), 12: (727, 349), 13: (675, 453), 14: (749, 448), 15: (656, 560), 16: (802, 549), 17: (731, 183), 18: (array([668., 151.]), array([671., 140.]))}"
54,1881,726.1064628644182,464.11443572120345,0,118.59085358993286,40.14429848969968,19.800304758409112,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:30,7.580662488937378,0.09777379035949707,,0,"{0: (10, -790, 2273), 1: (21, -809, 2206), 3: (108, -826, 2188), 5: (177, -598, 2036), 6: (245, -616, 2056), 7: (203, -299, 1989), 8: (240, -311, 2000), 9: (0, 0, 0), 11: (156, -77, 2095), 12: (0, 0, 0), 13: (39, 290, 2211), 14: (251, 284, 2346), 15: (0, 0, 0), 16: (524, 614, 2292), 17: (213, -599, 2031)}","{0: (642, 152), 1: (645, 140), 3: (670, 133), 5: (693, 186), 6: (713, 182), 7: (702, 275), 8: (713, 272), 9: (693, 346), 11: (685, 345), 12: (706, 344), 13: (650, 448), 14: (705, 442), 15: (652, 559), 16: (781, 534), 17: (704, 185), 18: (array([642., 152.]), array([645., 140.]))}"
55,1882,726.1064628644182,464.11443572120345,0,118.59085358993286,59.44629084235278,20.71151712934153,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:30,7.677882194519043,0.0983273983001709,,0,"{0: (0, 0, 0), 1: (-83, -822, 2214), 3: (0, 0, 0), 5: (107, -609, 2028), 7: (109, -317, 1994), 9: (0, 0, 0), 11: (0, 0, 0), 12: (120, -85, 2111), 13: (-1, 288, 2198), 14: (54, 275, 2235), 15: (0, 0, 0), 16: (347, 546, 2337), 17: (114, -609, 2031)}","{0: (614, 147), 1: (616, 137), 3: (641, 130), 5: (672, 182), 7: (673, 270), 9: (662, 342), 11: (664, 343), 12: (674, 343), 13: (639, 448), 14: (654, 443), 15: (653, 557), 16: (731, 512), 17: (674, 182), 18: (array([614., 147.]), array([616., 137.]))}"
56,1883,726.1064628644182,464.11443572120345,0,118.59085358993286,36.07019533491297,27.908036866881275,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,7.776834964752197,0.09715867042541504,,0,"{0: (-180, -794, 2274), 1: (0, 0, 0), 3: (-85, -839, 2184), 5: (3, -611, 2025), 6: (66, -638, 2062), 7: (-20, -300, 1988), 9: (0, 0, 0), 11: (23, -95, 2120), 12: (65, -109, 2116), 13: (-51, 278, 2209), 14: (-62, 264, 2208), 15: (0, 0, 0), 16: (0, 0, 0), 17: (35, -620, 2035)}","{0: (590, 151), 1: (590, 139), 3: (615, 129), 5: (640, 181), 6: (659, 176), 7: (633, 275), 9: (596, 343), 11: (646, 340), 12: (658, 336), 13: (625, 445), 14: (622, 441), 15: (656, 549), 16: (651, 535), 17: (650, 179), 18: (array([590., 151.]), array([590., 139.]))}"
57,1884,726.1064628644182,464.11443572120345,0,118.59085358993286,19.018617708107456,10.081828522950644,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,7.8775715827941895,0.0989372730255127,,0,"{0: (0, 0, 0), 1: (-253, -811, 2205), 3: (-167, -835, 2192), 5: (-83, -616, 2043), 6: (-11, -651, 2092), 7: (-108, -323, 1997), 9: (-238, -117, 2082), 11: (-67, -113, 2128), 12: (-35, -116, 2121), 13: (-55, 302, 2225), 14: (-191, 282, 2389), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-47, -625, 2051)}","{0: (567, 151), 1: (568, 139), 3: (592, 131), 5: (614, 181), 6: (636, 175), 7: (606, 268), 9: (569, 333), 11: (620, 335), 12: (629, 334), 13: (624, 451), 14: (590, 440), 15: (646, 554), 16: (588, 537), 17: (625, 179), 18: (array([567., 151.]), array([568., 139.]))}"
58,1885,726.1064628644182,464.11443572120345,0,118.59085358993286,0.3305905944884273,7.035629558181313,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,7.983114957809448,0.10074353218078613,side,1,"{0: (0, 0, 0), 1: (-338, -808, 2206), 3: (-248, -830, 2199), 5: (-161, -612, 2062), 6: (-79, -638, 2114), 7: (-200, -309, 2008), 9: (0, 0, 0), 11: (-151, -86, 2145), 12: (-120, -93, 2145), 13: (-88, 293, 2237), 14: (-273, 274, 2393), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-122, -620, 2078)}","{0: (542, 152), 1: (544, 140), 3: (569, 133), 5: (591, 184), 6: (616, 181), 7: (578, 273), 9: (536, 333), 11: (596, 343), 12: (605, 341), 13: (615, 448), 14: (569, 438), 15: (648, 554), 16: (534, 534), 17: (603, 183), 18: (array([542., 152.]), array([544., 140.]))}"
59,1886,726.1064628644182,464.11443572120345,0,118.59085358993286,5.9818290215447405,14.393592968490537,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,8.086578845977783,0.10566067695617676,side,0,"{0: (0, 0, 0), 1: (-426, -785, 2223), 3: (0, 0, 0), 5: (-237, -597, 2091), 6: (-164, -634, 2147), 7: (-265, -283, 2033), 9: (0, 0, 0), 11: (-238, -73, 2172), 12: (-217, -80, 2170), 13: (-166, 298, 2249), 14: (-381, 287, 2411), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-201, -606, 2100)}","{0: (520, 161), 1: (520, 148), 3: (544, 139), 5: (569, 191), 6: (592, 185), 7: (559, 282), 9: (521, 338), 11: (572, 347), 12: (578, 345), 13: (594, 449), 14: (542, 441), 15: (646, 553), 16: (516, 541), 17: (580, 189), 18: (array([520., 161.]), array([520., 148.]))}"
60,1887,726.1064628644182,464.11443572120345,0,118.59085358993286,15.579752240839156,32.17694596991146,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,8.192584753036499,0.10332441329956055,,0,"{0: (0, 0, 0), 1: (0, 0, 0), 2: (0, 0, 0), 3: (0, 0, 0), 5: (-315, -599, 2112), 6: (-268, -627, 2150), 7: (-331, -295, 2076), 9: (0, 0, 0), 11: (-314, -63, 2210), 12: (-271, -78, 2212), 13: (-290, 272, 2250), 14: (-447, 282, 2431), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-293, -613, 2126)}","{0: (494, 157), 1: (497, 146), 2: (491, 149), 3: (522, 141), 5: (547, 192), 6: (562, 187), 7: (541, 280), 9: (515, 347), 11: (552, 350), 12: (564, 346), 13: (560, 442), 14: (526, 439), 15: (635, 541), 16: (514, 542), 17: (554, 189), 18: (array([494., 157.]), array([497., 146.]))}"
61,1888,726.1064628644182,464.11443572120345,0,118.59085358993286,22.95874255448132,54.13338345526947,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,8.290646076202393,0.1061403751373291,,0,"{0: (0, 0, 0), 1: (0, 0, 0), 3: (0, 0, 0), 5: (-380, -595, 2137), 6: (-343, -631, 2166), 7: (-365, -288, 2100), 9: (0, 0, 0), 11: (-389, -81, 2212), 12: (-343, -97, 2239), 13: (-438, 282, 2246), 14: (-491, 268, 2257), 15: (-157, 555, 2294), 16: (0, 0, 0), 17: (-364, -608, 2144)}","{0: (471, 164), 1: (472, 152), 3: (494, 144), 5: (529, 195), 6: (541, 187), 7: (532, 283), 9: (518, 347), 11: (531, 345), 12: (545, 341), 13: (519, 445), 14: (505, 441), 15: (597, 517), 16: (507, 540), 17: (534, 192), 18: (array([471., 164.]), array([472., 152.]))}"
62,1889,726.1064628644182,464.11443572120345,0,118.59085358993286,27.327216753463915,39.181388440808064,4.236394799058814,4.768233171713575,289.2602634307035,5,0,0.0,22-07-2024 19:55:31,8.387731552124023,0.09792304039001465,,0,"{0: (0, 0, 0), 1: (0, 0, 0), 3: (0, 0, 0), 5: (-435, -606, 2152), 6: (-419, -622, 2160), 7: (-377, -309, 2125), 9: (-406, -74, 2224), 11: (-467, -82, 2228), 12: (-436, -84, 2198), 13: (-548, 253, 2254), 14: (-530, 248, 2268), 15: (0, 0, 0), 16: (0, 0, 0), 17: (-428, -610, 2155)}","{0: (452, 170), 1: (451, 158), 3: (473, 144), 5: (514, 193), 6: (519, 189), 7: (530, 278), 9: (527, 347), 11: (510, 345), 12: (517, 344), 13: (489, 437), 14: (495, 435), 15: (536, 532), 16: (517, 525), 17: (516, 192), 18: (array([452., 170.]), array([451., 158.]))}"
